bank,pc,count
00,2000,1
00,2001,6
00,2002,6
00,2007,5
00,2010,1
00,2011,1
00,2012,6
00,2015,11
00,2016,22
00,2017,9
00,2020,9
00,2021,9
00,2022,9
00,2023,6
00,2025,3
00,2026,3
00,2027,3
00,2030,3
00,2031,1
00,2032,1
00,2033,2
00,2034,2
00,2035,2
00,2036,4
00,2037,4
00,2040,4
00,2041,4
00,2042,4
00,2043,4
00,2044,4
00,2045,4
00,2046,4
00,2047,4
00,2050,1
00,2051,1
00,2052,1
00,2053,1
00,2054,1
00,2055,1
00,2056,1
00,2057,1
00,2060,13
00,2061,13
00,2062,13
00,2064,13
00,2065,13
00,2066,13
00,2067,13
00,2070,13
00,2071,13
00,2072,13
00,2073,12
00,2074,12
00,2075,12
00,2076,12
00,2077,12
00,2100,12
00,2101,6
00,2102,104
00,2103,118
00,2104,118
00,2105,118
00,2106,118
00,2107,118
00,2110,118
00,2111,118
00,2113,118
00,2114,98
00,2115,20
00,2116,5
00,2117,5
00,2120,15
00,2121,13
00,2122,13
00,2123,13
00,2124,13
00,2125,11
00,2127,4
00,2130,4
00,2131,4
00,2132,4
00,2133,4
00,2134,4
00,2135,4
00,2136,4
00,2137,4
00,2140,4
00,2141,4
00,2142,4
00,2143,4
00,2144,6
00,2145,17
00,2146,17
00,2147,17
00,2150,17
00,2151,17
00,2153,17
00,2154,17
00,2155,17
00,2156,17
00,2157,17
00,2161,17
00,2162,17
00,2163,17
00,2164,17
00,2165,17
00,2167,17
00,2170,6
00,2171,11
00,2214,24
00,2215,24
00,2216,20
00,2217,4
00,2220,4
00,2221,4
00,2223,4
00,2224,20
00,2225,20
00,2226,20
00,2227,20
00,2230,20
00,2231,20
00,2232,20
00,2233,2
00,2234,14
00,2236,6
00,2240,4
00,2241,2
00,2242,2
00,2243,2
00,2244,2
00,2277,4
00,2300,4
00,2301,4
00,2302,4
00,2303,7
00,2304,7
00,2305,7
00,2306,7
00,2307,7
00,2310,7
00,2311,7
00,2315,7
00,2316,7
00,2317,7
00,2321,7
00,2332,2
00,2333,2
00,2334,2
00,2335,2
00,2342,14
00,2344,14
00,2346,14
00,2347,14
00,2350,14
00,2351,14
00,2352,14
00,2353,11
00,2354,11
00,2355,11
00,2356,11
00,2357,11
00,2360,1
00,2361,10
00,2363,10
00,2364,10
00,2365,10
00,2366,9
00,2370,1
00,2402,10
00,2403,10
00,2405,11
00,2406,11
00,2407,11
00,2410,11
00,2411,11
00,2412,11
00,2413,1
00,2414,10
00,2415,10
00,2422,1
00,2424,1
00,2426,1
00,2430,1
00,2516,1
00,2517,1
00,2562,6
00,2563,6
00,2564,6
00,2565,6
