cycle,bank,address,value
682666,0,077,12000
682666,3,333,00000
682666,3,334,00000
682666,3,335,00000
682666,3,336,00000
682666,3,337,00000
682666,3,340,00000
682666,3,341,00000
682666,3,342,00000
682666,3,343,00000
682666,3,344,00000
682666,3,345,00000
682666,3,346,00000
682666,3,347,00000
682666,3,350,00000
682666,3,351,00000
682666,3,352,00000
682666,3,353,00000
682666,3,354,00000
682666,3,333,20000
682666,3,334,00000
682666,3,343,20000
682666,3,344,00000
682666,3,353,20000
682666,3,354,00000
682666,4,022,00324
682666,4,023,02560
682666,4,024,00000
682666,4,025,00000
682666,4,026,00000
682666,4,027,00000
682666,2,220,00325
682666,2,221,35240
682666,2,222,00000
682666,2,223,00000
682666,2,224,00000
682666,2,225,00000
682666,2,226,00000
682666,2,227,00000
682666,2,230,04200
682666,2,231,00000
682666,2,232,00000
682666,2,233,00000
682666,2,234,00000
682666,2,235,01440
682666,5,000,00005
682666,5,001,17620
