cycle,bank,pc
888308,04,2144
888460,13,3414
888509,13,3464
888569,04,2146
892141,32,3020
892334,32,3023
892527,32,3026
892719,32,3031
892849,32,3034
892992,32,3036
893116,26,3716
893230,26,3721
893312,24,3720
893427,24,3723
893489,24,3725
893639,24,3730
893832,25,3743
894000,25,3746
894143,25,3751
894250,25,3753
894358,25,3754
894508,25,3756
894615,25,3760
894973,25,3763
895238,25,3765
895286,25,3767
895345,24,3732
895960,24,3733
896071,24,3734
896548,24,3735
896659,24,3737
896787,24,3741
896918,25,3743
897803,25,3746
897947,25,3751
898054,25,3753
898163,25,3754
898351,25,3756
898458,25,3760
898870,25,3763
899155,25,3765
899203,25,3767
899262,24,3744
899373,24,3746
899857,24,3750
899987,25,3743
900153,25,3746
900297,25,3751
900404,25,3753
900622,25,3754
900773,25,3756
900880,25,3760
901237,25,3763
901573,25,3765
901621,25,3767
901680,24,3753
902271,24,3754
902325,24,3755
902383,24,3756
902553,24,3760
902663,24,3761
902832,24,3763
902942,24,3764
903546,24,3765
903597,24,3766
903698,24,3770
903808,24,3771
904087,24,3773
904159,25,3671
904259,25,3673
904431,25,3675
904543,25,3677
904657,25,3701
904817,25,3704
905251,25,3707
905667,25,3711
905741,25,3712
905888,25,3713
906252,25,3716
906610,25,3720
906835,25,3722
907761,25,3724
908624,25,3726
908994,25,3730
909123,25,3731
909243,25,3733
910016,25,3734
910686,25,3736
911159,25,3740
911280,25,3741
911437,26,3723
911528,26,3725
912039,26,3730
912995,24,3706
913108,24,3710
913199,32,3040
914316,32,3042
914458,23,2432
914578,23,2435
914730,23,2437
914852,23,2441
914934,26,3716
915071,26,3733
915153,26,3743
915270,26,3746
915331,26,3750
915479,26,3753
915672,25,3743
915838,25,3746
916036,25,3751
916145,25,3753
916252,25,3754
916737,25,3756
916844,25,3760
917202,25,3763
917954,25,3765
918002,25,3767
918061,26,3755
918153,26,3757
918711,26,3761
919415,26,3763
919955,26,3765
920069,26,3767
920657,26,3771
920803,26,3773
920894,26,3735
921185,06,3753
921297,06,3755
921406,06,3757
921517,06,3761
921635,06,3763
921694,26,3737
922530,26,3741
922600,26,3725
923234,26,3730
924067,24,3706
924180,24,3710
924271,23,2443
925710,23,2446
925859,23,2450
926614,23,2451
926761,32,3044
926895,32,3047
927013,13,3057
927161,13,3414
927210,13,3464
927269,13,3062
927468,13,3051
927662,13,3054
927936,13,3136
928202,13,3141
928263,13,3144
928423,13,2760
929138,13,2764
929299,13,2711
929458,13,2715
929572,13,3150
929637,13,3152
929700,13,3153
929903,13,3257
930035,13,3264
930156,13,3267
930503,13,3271
930648,13,3273
930806,13,3300
930959,13,3303
931155,13,3305
931465,13,3307
931708,13,3310
932153,13,3313
932242,13,3315
932364,13,3320
932496,13,3323
932834,13,3326
932897,13,3327
933032,13,3331
933136,13,3334
933252,13,3337
933474,13,3351
933809,13,3353
933948,13,3157
934082,13,3200
934202,11,3441
934362,11,3444
934768,11,3447
934851,11,3450
935000,11,3452
935440,11,3455
935522,11,3456
935673,11,3460
935756,11,3461
935890,11,3463
935953,11,3464
936016,11,3465
936075,13,3203
936252,13,3206
936448,13,3211
936644,13,3214
936866,13,3217
937038,13,3221
937190,13,3225
937276,13,3230
937469,13,3233
937571,13,3235
937837,13,3464
937896,32,3051
938278,32,3055
938429,32,3057
938580,32,3061
938784,32,3063
938918,32,3065
939052,32,3067
939117,32,3070
939182,32,3072
939304,32,3074
940245,32,3076
940386,33,3130
940820,33,3131
940943,33,3133
941304,33,3136
941698,33,3141
941779,33,3142
941838,32,3100
941978,31,2454
942062,31,2642
942550,31,2645
942910,31,2647
943635,31,2652
944703,31,2655
945042,31,2657
945177,31,2660
945327,31,3004
946273,31,3007
946535,31,3011
946617,31,3012
946655,31,3014
947177,31,3017
947440,31,3021
947521,31,3022
948545,31,3024
948626,31,3025
948781,31,3027
949143,31,3030
949274,31,3032
949433,31,3034
950347,31,3036
950428,31,3037
951057,31,3040
951189,31,3041
952454,31,3044
952595,31,3062
952685,31,3064
952815,31,3066
952929,31,3070
953205,31,3073
953333,31,3075
953504,31,3100
953567,31,3101
