cycle,channel,value
1,163,00200
85,13,00000
109,11,00000
153,13,00000
158,13,00000
507,11,20000
702,13,00100
732,13,00000
809,13,00000
1015,11,20000
1956,10,60400
2482,13,00100
3739,10,00000
3799,11,20002
5402,10,04000
6111,11,20000
7067,10,00000
8828,10,54000
10481,10,00000
12200,10,00000
22431,10,00000
32672,10,00000
42912,10,00000
53151,10,00000
63456,10,00000
73631,10,00000
83873,10,00000
89689,13,00000
91459,13,00100
94112,10,00000
104352,10,00000
114598,10,00000
124831,10,00000
135072,10,00000
145311,10,00000
155552,10,00000
165800,10,00000
176032,10,00000
178978,13,00000
180730,13,00100
186273,10,00000
196513,10,00000
206751,10,00000
217029,10,00000
227231,10,00000
237472,10,00000
247713,10,00000
256000,15,00021
256175,11,20002
256293,11,20000
258000,10,50000
259715,10,00000
261410,10,44000
263067,10,00000
264830,10,40000
266542,10,00000
268246,10,34000
268547,13,00000
269894,10,00000
270317,13,00100
271651,10,30000
273308,10,00000
275064,10,24000
276727,10,00000
278479,10,20000
280135,10,00000
281890,10,14000
283547,10,00000
285310,10,10000
286962,10,00000
288674,10,00000
290133,15,00003
290283,11,20002
290557,11,20000
298986,10,51540
300614,10,00000
302330,10,00000
309156,10,00000
319401,10,00000
324266,15,00006
324445,11,20002
324709,11,20000
329671,10,51574
331336,10,00000
333046,10,00000
339873,10,00000
350114,10,00000
357844,13,00000
358400,15,00034
358580,11,20002
358719,13,00000
358743,11,20000
358785,13,00000
358790,13,00000
359129,11,20000
359177,13,00000
359494,11,20000
359595,13,00100
359625,13,00000
361239,10,04000
361376,13,00100
362158,11,20002
362917,10,00000
364416,11,20000
364667,10,54000
366322,10,00000
368076,10,50000
369735,10,00000
371490,10,44000
373148,10,00000
374905,10,40000
376563,10,00000
378317,10,34000
379974,10,00000
381730,10,30000
383387,10,00000
385144,10,24000
386801,10,00000
388589,10,20000
390214,10,00000
391971,10,14000
393630,10,00000
395344,10,60000
397041,10,00000
398798,10,10000
400455,10,00000
402165,10,00000
405581,10,00000
415820,10,00000
426059,10,00000
436298,10,00000
446538,10,00000
448911,13,00000
450682,13,00100
456778,10,00000
467019,10,00000
477260,10,00000
487500,10,00000
497739,10,00000
508006,10,00000
518219,10,00000
528458,10,00000
538133,13,00000
538698,10,00000
539883,13,00100
548939,10,00000
559180,10,00000
569419,10,00000
579658,10,00000
589899,10,00000
600138,10,00000
610378,10,00000
620619,10,00000
627210,13,00000
628981,13,00100
630860,10,00000
641100,10,00000
651338,10,00000
661579,10,00000
671865,10,00000
682058,10,00000
682666,15,00021
682836,11,20002
682956,11,20000
692373,10,50000
694004,10,00000
695711,10,00000
702540,10,00000
712781,10,00000
716526,13,00000
716800,15,00003
716956,11,20002
717232,11,20000
718276,13,00100
723057,10,51540
724722,10,00000
726430,10,00000
733260,10,00000
743500,10,00000
750933,15,00007
751090,11,20002
751352,11,20000
753778,10,51563
755441,10,00000
757150,10,00000
763981,10,00000
774221,10,00000
784461,10,00000
785066,15,00034
785247,11,20002
785411,11,20042
785412,163,00240
785468,11,20040
791894,163,00200
794747,10,44000
796401,10,00000
798111,10,00000
804942,10,00000
806102,13,00000
807875,13,00100
815180,10,00000
819200,15,00006
819346,11,20042
819620,11,20040
825455,10,45600
827121,10,00000
828830,10,00000
835660,10,00000
845902,10,00000
853333,15,00003
853478,11,20042
853740,11,20040
856175,10,45633
857844,10,00000
859550,10,00000
866381,10,00000
873814,163,00240
876620,10,00000
886862,10,00000
887466,15,00034
887618,11,20042
887692,11,20002
887693,163,00200
888951,11,20002
889327,11,20000
889369,13,00100
889374,13,00100
890253,11,20000
890261,11,20002
890870,11,20002
895514,13,00000
897137,10,04000
897383,13,00100
898803,10,00000
900565,10,55633
902216,10,00000
903971,10,50000
905628,10,00000
907390,10,44000
909042,10,00000
910797,10,40000
912454,10,00000
914211,10,34000
915868,10,00000
917630,10,30000
919283,10,00000
921073,10,24000
922699,10,00000
924453,10,20000
926107,10,00000
927866,10,14000
929521,10,00000
931276,10,10000
932935,10,00000
934644,10,00000
938060,10,00000
948300,10,00000
958541,10,00000
960375,13,00100
960399,11,20000
960443,13,00100
960448,13,00100
961645,11,20000
962810,10,60400
963153,11,20040
963180,11,20000
963408,11,20040
964627,10,00000
966257,10,04000
966292,11,20040
967922,10,00000
969680,10,54000
971335,10,00000
973096,10,51563
974748,10,00000
976504,10,44000
978161,10,00000
979916,10,40000
981574,10,00000
983040,163,00240
983334,10,34000
984988,10,00000
986043,13,00000
986744,10,30000
987814,13,00100
988401,10,00000
990157,10,24000
991817,10,00000
993573,10,20000
995227,10,00000
996993,10,14000
998705,10,00000
1000397,10,10000
1002055,10,00000
1003767,10,00000
1010347,163,00200
1014009,10,00000
1024247,10,00000
1034507,10,00000
1044729,10,00000
1054967,10,00000
1065210,10,00000
1075448,10,00000
1075553,13,00000
1077304,13,00100
1085687,10,00000
1092267,163,00240
1095927,10,00000
1106227,10,00000
1116407,10,00000
1119574,163,00200
1126650,10,00000
1136887,10,00000
1147127,10,00000
1157367,10,00000
1165247,13,00000
1167017,13,00100
1167607,10,00000
1177849,10,00000
1188087,10,00000
1198329,10,00000
1201494,163,00240
1208569,10,00000
1218808,10,00000
1228800,163,00200
1229047,10,00000
1239288,10,00000
1249528,10,00000
1254706,13,00000
1256457,13,00100
1259768,10,00000
1270007,10,00000
1280000,15,00021
1280247,10,00000
1280310,11,20042
1280344,11,20062
1280345,163,00220
1280446,11,20060
1290562,10,50000
1292187,10,00000
1293897,10,00000
1300729,10,00000
1310720,163,00240
1310970,10,00000
1314133,15,00020
1314290,11,20062
1314324,11,20062
1314585,11,20060
1321243,10,51240
1322956,10,00000
1324620,10,00000
1331447,10,00000
1338027,163,00220
1341688,10,00000
1344142,13,00000
1345913,13,00100
1348266,15,00005
1348434,11,20062
1348468,11,20062
1348713,11,20060
1351962,10,51276
1353630,10,00000
1355337,10,00000
1362184,10,00000
1372410,10,00000
1382400,15,00037
1382550,11,20062
1382584,11,20062
1382700,10,44000
1382846,11,20060
1384348,10,00000
1386057,10,00000
1392887,10,00000
1403127,10,00000
1413367,10,00000
1416533,15,00020
1416702,11,20062
1416736,11,20062
1416997,11,20060
1419947,163,00240
1423642,10,45240
1425307,10,00000
1427018,10,00000
1433573,13,00000
1433848,10,00000
1435325,13,00100
1444088,10,00000
1447254,163,00220
1450666,15,00011
1450847,11,20062
1450882,11,20062
1451136,11,20060
1454365,10,45277
1456028,10,00000
1457737,10,00000
1464568,10,00000
1474807,10,00000
1484800,15,00034
1484977,11,20062
1485011,11,20062
1485047,10,00000
1487733,11,20060
1495334,10,40025
1496987,10,00000
1498745,10,34157
1500402,10,00000
1502157,10,31274
1503858,10,00000
1505573,10,25265
1507229,10,00000
1508984,10,21265
1510641,10,00000
1512397,10,15265
1514056,10,00000
1515813,10,11265
1517470,10,00000
1519224,10,05265
1520881,10,00000
1522590,10,00000
1523354,13,00000
1525126,13,00100
1526008,10,00000
1529174,163,00240
1536249,10,00000
1546487,10,00000
1556480,163,00220
1556728,10,00000
1566968,10,00000
1577208,10,00000
1587447,10,00000
1597687,10,00000
1607930,10,00000
1612769,13,00000
1614520,13,00100
1618170,10,00000
1628408,10,00000
1638400,163,00240
1638647,10,00000
1648887,10,00000
1659127,10,00000
1665707,163,00220
1669367,10,00000
1679608,10,00000
1689847,10,00000
1700090,10,00000
1702108,13,00000
1703878,13,00100
1710327,10,00000
1720568,10,00000
1730809,10,00000
1741047,10,00000
1747627,163,00240
1751287,10,00000
1761528,10,00000
1771767,10,00000
1774934,163,00220
1782010,10,00000
1791787,13,00000
1792248,10,00000
1793537,13,00100
1802488,10,00000
1812727,10,00000
1822967,10,00000
1833209,10,00000
1843447,10,00000
1853687,10,00000
1856854,163,00240
1863930,10,00000
1874168,10,00000
1880937,13,00000
1882709,13,00100
1884160,163,00220
1884408,10,00000
1894647,10,00000
1904888,10,00000
1915127,10,00000
1925368,10,00000
1935608,10,00000
1945850,10,00000
1956171,10,00000
1966080,163,00240
1966327,10,00000
1970397,13,00000
1972148,13,00100
1976568,10,00000
1986807,10,00000
1993387,163,00220
1997048,10,00000
2007287,10,00000
2017528,10,00000
2027770,10,00000
2038007,10,00000
2048248,10,00000
2058487,10,00000
2059481,13,00000
2061254,13,00100
2068727,10,00000
2075307,163,00240
2078968,10,00000
2089208,10,00000
2099448,10,00000
2102614,163,00220
2109710,10,00000
2119927,10,00000
2130168,10,00000
2140407,10,00000
2148921,13,00000
2150647,10,00000
2150874,13,00100
2160887,10,00000
2171127,10,00000
2181368,10,00000
2184534,163,00240
2191612,10,00000
2201847,10,00000
2211840,163,00220
2212088,10,00000
2222328,10,00000
2232567,10,00000
2238324,13,00000
2240094,13,00100
2242807,10,00000
2253048,10,00000
2263288,10,00000
2273529,10,00000
2283767,10,00000
2293760,163,00240
2294007,10,00000
2304247,10,00000
2314488,10,00000
2321067,163,00220
2324728,10,00000
2327600,13,00000
2329350,13,00100
2334968,10,00000
2345207,10,00000
2355449,10,00000
2365688,10,00000
2375928,10,00000
2386167,10,00000
2396407,10,00000
2402987,163,00240
2406647,10,00000
2416887,10,00000
2417181,13,00000
2418952,13,00100
2427128,10,00000
2430294,163,00220
2437370,10,00000
2447607,10,00000
2457847,10,00000
2468087,10,00000
2478327,10,00000
2488567,10,00000
2498807,10,00000
2506799,13,00000
2508549,13,00100
2509048,10,00000
2512214,163,00240
2519290,10,00000
2529528,10,00000
2539520,163,00220
2539767,10,00000
2550008,10,00000
