cycle,instructions,p63_instructions
4267,2423,0
8534,4872,0
12801,7451,0
17068,10054,0
21335,12645,0
25602,15240,0
29869,17826,0
34136,20429,0
38403,23017,0
42670,25624,0
46937,28202,0
51204,30804,0
55471,33394,0
59738,35997,0
64005,38577,0
68272,41183,0
72539,43770,0
76806,46373,0
81073,48960,0
85340,51554,0
89607,54146,0
93874,56729,0
98141,59318,0
102408,61922,0
106675,64500,0
110942,67107,0
115209,69688,0
119476,72297,0
123743,74886,0
128010,77477,0
132277,80068,0
136544,82670,0
140811,85261,0
145078,87866,0
149345,90442,0
153612,93049,0
157879,95633,0
162146,98242,0
166413,100823,0
170680,103426,0
174947,106017,0
179214,108622,0
183481,111191,0
187748,113786,0
192015,116373,0
196282,118979,0
200549,121567,0
204816,124169,0
209083,126749,0
213350,129353,0
217617,131941,0
221884,134549,0
226151,137135,0
230418,139729,0
234685,142317,0
238952,144920,0
243219,147511,0
247486,150113,0
251753,152692,0
256020,155292,0
260287,157862,0
264554,160457,0
268821,163019,0
273088,165593,0
277355,168171,0
281622,170762,0
285889,173336,0
290156,175920,0
294423,178489,0
298690,181097,0
302957,183666,0
307224,186272,0
311491,188851,0
315758,191454,0
320025,194042,0
324292,196640,0
328559,199213,0
332826,201800,0
337093,204383,0
341360,206988,0
345627,209580,0
349894,212187,0
354161,214764,0
358428,217366,0
362695,219786,0
366962,222238,0
371229,224815,0
375496,227405,0
379763,229980,0
384030,232572,0
388297,235153,0
392564,237739,0
396831,240312,0
401098,242901,0
405365,245489,0
409632,248094,0
413899,250679,0
418166,253274,0
422433,255861,0
426700,258464,0
430967,261055,0
435234,263659,0
439501,266237,0
443768,268841,0
448035,271430,0
452302,274016,0
456569,276605,0
460836,279197,0
465103,281786,0
469370,284388,0
473637,286978,0
477904,289569,0
482171,292160,0
486438,294764,0
490705,297352,0
494972,299960,0
499239,302534,0
503506,305140,0
507773,307730,0
512040,310330,0
516307,312922,0
520574,315515,0
524841,318109,0
529108,320714,0
533375,323301,0
537642,325908,0
541909,328467,0
546176,331071,0
550443,333660,0
554710,336263,0
558977,338854,0
563244,341448,0
567511,344035,0
571778,346640,0
576045,349227,0
580312,351822,0
584579,354412,0
588846,357015,0
593113,359603,0
597380,362204,0
601647,364785,0
605914,367390,0
610181,369979,0
614448,372584,0
618715,375170,0
622982,377765,0
627249,380355,0
631516,382935,0
635783,385526,0
640050,388129,0
644317,390709,0
648584,393315,0
652851,395900,0
657118,398506,0
661385,401094,0
665652,403688,0
669919,406279,0
674186,408877,0
678453,411468,0
682720,414055,0
686987,416634,0
691254,419241,0
695521,421818,0
699788,424421,0
704055,427002,0
708322,429605,0
712589,432196,0
716856,434793,0
721123,437345,0
725390,439933,0
729657,442514,0
733924,445119,0
738191,447707,0
742458,450313,0
746725,452892,0
750992,455489,0
755259,458056,0
759526,460653,0
763793,463240,0
768060,465834,0
772327,468422,0
776594,471027,0
780861,473617,0
785128,476202,0
789395,478779,0
793662,481383,0
797929,483961,0
802196,486562,0
806463,489137,0
810730,491723,0
814997,494315,0
819264,496910,0
823531,499483,0
827798,502067,0
832065,504651,0
836332,507253,0
840599,509841,0
844866,512448,0
849133,515023,0
853400,517623,0
857667,520193,0
861934,522786,0
866201,525376,0
870468,527971,0
874735,530559,0
879002,533164,0
883269,535755,0
887536,538343,0
891803,540658,1
896070,542949,16
900337,545239,16
904604,547505,16
908871,549705,16
913138,551889,16
917405,554163,16
921672,556400,16
925939,558550,16
930206,560866,16
934473,563192,16
938740,565480,16
943007,567730,16
947274,569894,16
951541,572089,16
955808,574323,16
960075,576594,16
964342,578918,16
968609,581361,16
972876,583943,16
977143,586531,16
981410,589107,16
985677,591692,16
989944,594248,16
994211,596837,16
998478,599416,16
1002745,602006,16
1007012,604584,16
1011279,607187,16
1015546,609777,16
1019813,612383,16
1024080,614970,16
1028347,617565,16
1032614,620154,16
1036881,622755,16
1041148,625345,16
1045415,627935,16
1049682,630526,16
1053949,633133,16
1058216,635722,16
1062483,638331,16
1066750,640905,16
1071017,643512,16
1075284,646101,16
1079551,648667,16
1083818,651257,16
1088085,653853,16
1092352,656438,16
1096619,659044,16
1100886,661630,16
1105153,664238,16
1109420,666817,16
1113687,669420,16
1117954,672006,16
1122221,674610,16
1126488,677200,16
1130755,679793,16
1135022,682380,16
1139289,684986,16
1143556,687578,16
1147823,690168,16
1152090,692759,16
1156357,695362,16
1160624,697948,16
1164891,700555,16
1169158,703110,16
1173425,705717,16
1177692,708307,16
1181959,710909,16
1186226,713501,16
1190493,716089,16
1194760,718680,16
1199027,721283,16
1203294,723870,16
1207561,726478,16
1211828,729054,16
1216095,731659,16
1220362,734248,16
1224629,736852,16
1228896,739442,16
1233163,742036,16
1237430,744625,16
1241697,747231,16
1245964,749818,16
1250231,752413,16
1254498,755003,16
1258765,757571,16
1263032,760160,16
1267299,762767,16
1271566,765342,16
1275833,767947,16
1280100,770532,16
1284367,773125,16
1288634,775716,16
1292901,778295,16
1297168,780881,16
1301435,783487,16
1305702,786073,16
1309969,788678,16
1314236,791244,16
1318503,793838,16
1322770,796422,16
1327037,799016,16
1331304,801607,16
1335571,804197,16
1339838,806789,16
1344105,809392,16
1348372,811949,16
1352639,814532,16
1356906,817109,16
1361173,819716,16
1365440,822304,16
1369707,824906,16
1373974,827484,16
1378241,830088,16
1382508,832667,16
1386775,835256,16
1391042,837844,16
1395309,840439,16
1399576,843029,16
1403843,845628,16
1408110,848218,16
1412377,850822,16
1416644,853390,16
1420911,855990,16
1425178,858571,16
1429445,861169,16
1433712,863758,16
1437979,866316,16
1442246,868906,16
1446513,871506,16
1450780,874084,16
1455047,876666,16
1459314,879244,16
1463581,881851,16
1467848,884437,16
1472115,887044,16
1476382,889622,16
1480649,892224,16
1484916,894803,16
1489183,897293,16
1493450,899880,16
1497717,902467,16
1501984,905046,16
1506251,907634,16
1510518,910215,16
1514785,912804,16
1519052,915376,16
1523319,917966,16
1527586,920531,16
1531853,923137,16
1536120,925725,16
1540387,928320,16
1544654,930910,16
1548921,933510,16
1553188,936101,16
1557455,938691,16
1561722,941282,16
1565989,943890,16
1570256,946474,16
1574523,949079,16
1578790,951659,16
1583057,954261,16
1587324,956851,16
