cycle,instruction_count,bank,pc,word,extended,a,l,q
1771,1000,02,5166,00006,0,166102,003304,1214
3481,2000,01,2637,50064,0,027110,000000,2037
5355,3000,06,2006,12134,0,001770,000000,0336
7105,4000,01,3222,33224,0,003304,003304,1214
8742,5000,01,3223,15166,0,166102,003304,1214
10391,6000,02,4636,50000,0,003335,003304,0000
12053,7000,17,2655,61301,0,000000,000000,4707
13703,8000,01,3214,10067,0,000000,003304,1214
15341,9000,02,5167,01007,1,166102,003304,1214
16978,10000,43,3303,03332,0,000000,003304,3307
18613,11000,01,3223,15166,0,166102,003304,1214
20251,12000,43,3304,11362,0,166102,003304,0002
21914,13000,43,3303,03332,0,000000,003304,3307
23573,14000,43,3306,03303,0,000000,003304,0002
25211,15000,02,4636,50000,0,003335,003304,0000
26849,16000,02,4644,13214,0,000000,003304,1214
28488,17000,01,3214,10067,0,000000,003304,1214
30153,18000,01,3221,54001,0,003304,003304,1214
31792,19000,01,3222,33224,0,003304,003304,1214
33435,20000,01,3222,33224,0,003304,003304,1214
35073,21000,01,3223,15166,0,166102,003304,1214
36711,22000,43,3304,11362,0,166102,003304,0002
38373,23000,02,4636,50000,0,003335,003304,0000
40009,24000,05,0335,03523,0,000077,000000,3770
41646,25000,43,3304,11362,0,166102,003304,0002
43305,26000,01,3222,33224,0,003304,003304,1214
44942,27000,33,0001,03304,0,166102,003304,5172
46606,28000,43,3306,03303,0,000000,003304,0002
48246,29000,02,4642,56002,0,001214,003304,0000
49883,30000,02,4643,50002,0,000000,003304,1214
51522,31000,33,0001,03304,0,166102,003304,5172
53164,32000,06,2101,00006,0,000000,000000,2014
54825,33000,02,5272,30016,0,037766,034106,3307
56465,34000,02,4640,54004,0,003214,003304,0000
58105,35000,02,5170,54006,0,166102,003304,1214
59743,36000,02,5171,00001,0,166102,003304,1214
61377,37000,05,3767,00335,0,000077,000000,3525
63012,38000,43,3303,03332,0,000000,003304,3307
64698,39000,02,5170,54006,0,166102,003304,1214
66335,40000,02,4640,54004,0,003214,003304,0000
67974,41000,02,4641,75012,0,003214,003304,0000
69613,42000,02,5171,00001,0,166102,003304,1214
71249,43000,33,0001,03304,0,166102,003304,5172
72913,44000,43,3306,03303,0,000000,003304,0002
74557,45000,43,3306,03303,0,000000,003304,0002
76195,46000,43,3303,03332,0,000000,003304,3307
77832,47000,43,3332,00006,0,000000,003304,3304
79474,48000,01,3214,10067,0,000000,003304,1214
81139,49000,01,3221,54001,0,003304,003304,1214
82778,50000,01,3222,33224,0,003304,003304,1214
84433,51000,02,4640,54004,0,003214,003304,0000
86066,52000,43,3306,03303,0,000000,003304,0002
87704,53000,43,3303,03332,0,000000,003304,3307
89368,54000,43,3333,23361,1,000000,003304,3304
91005,55000,43,3334,04635,0,000000,003304,3304
92679,56000,02,4641,75012,0,003214,003304,0000
94319,57000,43,3303,03332,0,000000,003304,3307
95955,58000,43,3332,00006,0,000000,003304,3304
97619,59000,43,3334,04635,0,000000,003304,3304
99258,60000,02,4635,56002,0,000000,003304,3335
100896,61000,02,4636,50000,0,003335,003304,0000
102535,62000,02,4637,33335,0,003335,003304,0000
104176,63000,01,3223,15166,0,166102,003304,1214
105834,64000,16,2026,22012,1,004014,002002,1214
107489,65000,43,3334,04635,0,000000,003304,3304
109131,66000,01,3222,33224,0,003304,003304,1214
110769,67000,01,3223,15166,0,166102,003304,1214
112407,68000,02,5166,00006,0,166102,003304,1214
114045,69000,02,4635,56002,0,000000,003304,3335
115718,70000,01,3221,54001,0,003304,003304,1214
117357,71000,01,3222,33224,0,003304,003304,1214
118993,72000,01,3223,15166,0,166102,003304,1214
120629,73000,02,4635,56002,0,000000,003304,3335
122270,74000,01,3223,15166,0,166102,003304,1214
123933,75000,02,5167,01007,1,166102,003304,1214
125588,76000,05,3511,13763,0,002002,000001,3156
127221,77000,43,3334,04635,0,000000,003304,3304
128864,78000,01,3221,54001,0,003304,003304,1214
130502,79000,01,3222,33224,0,003304,003304,1214
132165,80000,02,5166,00006,0,166102,003304,1214
133803,81000,43,3306,03303,0,000000,003304,0002
135445,82000,02,4643,50002,0,000000,003304,1214
137084,83000,01,3223,15166,0,166102,003304,1214
138722,84000,02,5166,00006,0,166102,003304,1214
140385,85000,43,3303,03332,0,000000,003304,3307
142022,86000,02,4637,33335,0,003335,003304,0000
143662,87000,01,3214,10067,0,000000,003304,1214
145304,88000,06,2012,11036,0,000001,000000,0336
146955,89000,05,3527,10337,0,000334,000001,0336
148609,90000,02,4676,32162,0,002161,036000,2162
150257,91000,01,3222,33224,0,003304,003304,1214
151891,92000,43,3334,04635,0,000000,003304,3304
153530,93000,02,4635,56002,0,000000,003304,3335
155171,94000,01,3223,15166,0,166102,003304,1214
156815,95000,01,3223,15166,0,166102,003304,1214
158477,96000,02,4636,50000,0,003335,003304,0000
160117,97000,02,5166,00006,0,166102,003304,1214
161751,98000,43,3332,00006,0,000000,003304,3304
163387,99000,02,4642,56002,0,001214,003304,0000
165023,100000,02,5166,00006,0,166102,003304,1214
166706,101000,01,3223,15166,0,166102,003304,1214
168342,102000,05,3766,10000,0,000100,177777,0336
169978,103000,01,3220,31361,0,000000,003304,1214
171617,104000,01,3221,54001,0,003304,003304,1214
173256,105000,01,3222,33224,0,003304,003304,1214
174918,106000,02,5166,00006,0,166102,003304,1214
176557,107000,02,4635,56002,0,000000,003304,3335
178196,108000,02,4636,50000,0,003335,003304,0000
179832,109000,33,0001,03304,0,166102,003304,5172
181503,110000,43,3333,23361,1,000000,003304,3304
183169,111000,02,4642,56002,0,001214,003304,0000
184808,112000,02,4643,50002,0,000000,003304,1214
186452,113000,06,3145,70061,1,177777,000000,0003
188097,114000,02,5171,00001,0,166102,003304,1214
189735,115000,33,0001,03304,0,166102,003304,5172
191399,116000,43,3306,03303,0,000000,003304,0002
193036,117000,43,3303,03332,0,000000,003304,3307
194675,118000,02,4637,33335,0,003335,003304,0000
196315,119000,01,3214,10067,0,000000,003304,1214
197958,120000,02,5166,00006,0,166102,003304,1214
199597,121000,02,5167,01007,1,166102,003304,1214
201259,122000,43,3332,00006,0,000000,003304,3304
202899,123000,02,4640,54004,0,003214,003304,0000
204539,124000,01,3220,31361,0,000000,003304,1214
206178,125000,01,3221,54001,0,003304,003304,1214
207829,126000,43,3304,11362,0,166102,003304,0002
209490,127000,43,3303,03332,0,000000,003304,3307
211128,128000,43,3332,00006,0,000000,003304,3304
212767,129000,43,3333,23361,1,000000,003304,3304
214405,130000,43,3334,04635,0,000000,003304,3304
216045,131000,02,4642,56002,0,001214,003304,0000
217710,132000,43,3333,23361,1,000000,003304,3304
219348,133000,43,3334,04635,0,000000,003304,3304
220986,134000,02,4635,56002,0,000000,003304,3335
222627,135000,02,4643,50002,0,000000,003304,1214
224265,136000,02,4644,13214,0,000000,003304,1214
225930,137000,43,3304,11362,0,166102,003304,0002
227589,138000,01,3223,15166,0,166102,003304,1214
229221,139000,02,4641,75012,0,003214,003304,0000
230862,140000,02,5170,54006,0,166102,003304,1214
232497,141000,02,4636,50000,0,003335,003304,0000
234162,142000,02,4640,54004,0,003214,003304,0000
235802,143000,02,5170,54006,0,166102,003304,1214
237438,144000,02,4640,54004,0,003214,003304,0000
239082,145000,02,4640,54004,0,003214,003304,0000
240722,146000,02,5170,54006,0,166102,003304,1214
242366,147000,16,2027,31273,0,004014,166002,3525
244023,148000,02,4642,56002,0,001214,003304,0000
245662,149000,02,4643,50002,0,000000,003304,1214
247300,150000,43,3304,11362,0,166102,003304,0002
248959,151000,01,3221,54001,0,003304,003304,1214
250594,152000,05,3524,03653,0,014077,002000,0336
252255,153000,02,4641,75012,0,003214,003304,0000
253894,154000,02,4642,56002,0,001214,003304,0000
255531,155000,02,4643,50002,0,000000,003304,1214
257194,156000,02,4644,13214,0,000000,003304,1214
258842,157000,43,3334,04635,0,000000,003304,3304
260513,158000,43,3306,03303,0,000000,003304,0002
262164,159000,01,3221,54001,0,003304,003304,1214
263807,160000,02,4642,56002,0,001214,003304,0000
265456,161000,43,3303,03332,0,000000,003304,3307
267102,162000,02,5170,54006,0,166102,003304,1214
268791,163000,02,4642,56002,0,001214,003304,0000
270446,164000,05,3632,24336,0,000000,000000,0336
272114,165000,01,3221,54001,0,003304,003304,1214
273758,166000,01,3221,54001,0,003304,003304,1214
275406,167000,02,4636,50000,0,003335,003304,0000
277075,168000,43,3332,00006,0,000000,003304,3304
278729,169000,02,5171,00001,0,166102,003304,1214
280374,170000,01,3222,33224,0,003304,003304,1214
282020,171000,02,4637,33335,0,003335,003304,0000
283666,172000,02,4643,50002,0,000000,003304,1214
285340,173000,02,5276,50017,0,000000,003304,3304
286986,174000,02,5274,52011,0,014006,000000,1214
288623,175000,02,4642,56002,0,001214,003304,0000
290302,176000,40,2101,54115,0,000001,002077,0002
291959,177000,02,5171,00001,0,166102,003304,1214
293600,178000,02,4703,56002,0,000626,034000,2161
295256,179000,43,3306,03303,0,000000,003304,0002
296893,180000,43,3303,03332,0,000000,003304,3307
298531,181000,43,3332,00006,0,000000,003304,3304
300183,182000,02,4635,56002,0,000000,003304,3335
301829,183000,02,4643,50002,0,000000,003304,1214
303502,184000,01,3214,10067,0,000000,003304,1214
305141,185000,01,3220,31361,0,000000,003304,1214
306779,186000,43,3303,03332,0,000000,003304,3307
308415,187000,43,3332,00006,0,000000,003304,3304
310076,188000,02,5167,01007,1,166102,003304,1214
311738,189000,43,3332,00006,0,000000,003304,3304
313376,190000,02,5276,50017,0,000000,003304,3304
315011,191000,02,5167,01007,1,166102,003304,1214
316648,192000,43,3303,03332,0,000000,003304,3307
318285,193000,43,3332,00006,0,000000,003304,3304
319956,194000,02,4637,33335,0,003335,003304,0000
321596,195000,01,3214,10067,0,000000,003304,1214
323235,196000,02,5167,01007,1,166102,003304,1214
324910,197000,01,3221,54001,0,003304,003304,1214
326547,198000,43,3303,03332,0,000000,003304,3307
328211,199000,43,3333,23361,1,000000,003304,3304
329876,200000,02,5276,50017,0,003214,003304,0000
331517,201000,43,3332,00006,0,000000,003304,3304
333167,202000,01,3220,31361,0,000000,003304,1214
334806,203000,01,3221,54001,0,003304,003304,1214
336463,204000,02,4640,54004,0,003214,003304,0000
338102,205000,02,5170,54006,0,166102,003304,1214
339739,206000,02,4640,54004,0,003214,003304,0000
341377,207000,43,3303,03332,0,000000,003304,3307
343013,208000,02,4641,75012,0,003214,003304,0000
344650,209000,01,3223,15166,0,166102,003304,1214
346311,210000,43,3303,03332,0,000000,003304,3307
347951,211000,02,4636,50000,0,003335,003304,0000
349590,212000,02,4637,33335,0,003335,003304,0000
351249,213000,43,3306,03303,0,000000,003304,0002
352887,214000,43,3303,03332,0,000000,003304,3307
354549,215000,43,3333,23361,1,000000,003304,3304
356187,216000,43,3334,04635,0,000000,003304,3304
357823,217000,05,3527,10337,0,002740,000400,0336
359620,218000,05,3757,03605,0,177777,177777,0336
361261,219000,02,5272,30016,0,146377,177340,3304
363104,220000,20,3736,10157,1,177626,164377,0003
364931,221000,02,5167,01007,1,166102,003304,1214
366575,222000,01,3220,31361,0,000000,003304,1214
368223,223000,02,4635,56002,0,000000,003304,3335
369866,224000,43,3306,03303,0,000000,003304,0002
371544,225000,01,3222,33224,0,003304,003304,1214
373187,226000,02,4643,50002,0,000000,003304,1214
374825,227000,01,3223,15166,0,166102,003304,1214
376475,228000,01,3214,10067,0,000000,003304,1214
378119,229000,01,3214,10067,0,000000,003304,1214
379793,230000,02,4635,56002,0,000000,003304,3335
381436,231000,02,4635,56002,0,000000,003304,3335
383083,232000,02,4643,50002,0,000000,003304,1214
384727,233000,02,4643,50002,0,000000,003304,1214
386376,234000,02,4637,33335,0,003335,003304,0000
388045,235000,43,3333,23361,1,000000,003304,3304
389697,236000,02,5166,00006,0,166102,003304,1214
391341,237000,01,3214,10067,0,000000,003304,1214
392989,238000,43,3334,04635,0,000000,003304,3304
394633,239000,43,3304,11362,0,166102,003304,0002
396321,240000,02,4644,13214,0,000000,003304,1214
397965,241000,02,4644,13214,0,000000,003304,1214
399614,242000,43,3333,23361,1,000000,003304,3304
401258,243000,33,0001,03304,0,166102,003304,5172
402905,244000,01,3222,33224,0,003304,003304,1214
404548,245000,16,2027,31273,0,004014,002002,3525
406204,246000,02,5170,54006,0,166102,003304,1214
407840,247000,02,4636,50000,0,003335,003304,0000
409479,248000,02,4637,33335,0,003335,003304,0000
411120,249000,02,5166,00006,0,166102,003304,1214
412757,250000,43,3334,04635,0,000000,003304,3304
414422,251000,02,4636,50000,0,003335,003304,0000
416082,252000,02,4643,50002,0,000000,003304,1214
417720,253000,43,3304,11362,0,166102,003304,0002
419356,254000,43,3306,03303,0,000000,003304,0002
420995,255000,02,4644,13214,0,000000,003304,1214
422660,256000,01,3220,31361,0,000000,003304,1214
424295,257000,43,3332,00006,0,000000,003304,3304
425934,258000,43,3333,23361,1,000000,003304,3304
427574,259000,02,5166,00006,0,166102,003304,1214
429210,260000,02,4636,50000,0,003335,003304,0000
430875,261000,02,4640,54004,0,003214,003304,0000
432514,262000,02,4641,75012,0,003214,003304,0000
434153,263000,02,4642,56002,0,001214,003304,0000
435792,264000,02,4643,50002,0,000000,003304,1214
437447,265000,43,3334,04635,0,000000,003304,3304
439116,266000,01,3222,33224,0,003304,003304,1214
440754,267000,01,3223,15166,0,166102,003304,1214
442390,268000,02,5166,00006,0,166102,003304,1214
444029,269000,02,5167,01007,1,166102,003304,1214
445668,270000,02,5170,54006,0,166102,003304,1214
447329,271000,02,4707,56073,0,000000,000000,0003
448970,272000,02,4641,75012,0,003214,003304,0000
450602,273000,43,3303,03332,0,000000,003304,3307
452274,274000,02,4636,50000,0,003335,003304,0000
453913,275000,02,4644,13214,0,000000,003304,1214
455552,276000,01,3214,10067,0,000000,003304,1214
457235,277000,02,4640,54004,0,003214,003304,0000
458874,278000,02,4641,75012,0,003214,003304,0000
460513,279000,02,4642,56002,0,001214,003304,0000
462152,280000,02,4643,50002,0,000000,003304,1214
463791,281000,02,5171,00001,0,166102,003304,1214
465453,282000,43,3304,11362,0,166102,003304,0002
467097,283000,02,4642,56002,0,001214,003304,0000
468736,284000,02,4643,50002,0,000000,003304,1214
470366,285000,43,3333,23361,1,000000,003304,3304
472004,286000,43,3334,04635,0,000000,003304,3304
473673,287000,01,3222,33224,0,003304,003304,1214
475309,288000,43,3332,00006,0,000000,003304,3304
476947,289000,43,3333,23361,1,000000,003304,3304
478607,290000,02,5167,01007,1,166102,003304,1214
480244,291000,02,4637,33335,0,003335,003304,0000
481910,292000,02,5170,54006,0,166102,003304,1214
483548,293000,02,5171,00001,0,166102,003304,1214
485186,294000,33,0001,03304,0,166102,003304,5172
486824,295000,02,4641,75012,0,003214,003304,0000
488466,296000,02,5170,54006,0,166102,003304,1214
490129,297000,33,0001,03304,0,166102,003304,5172
491763,298000,01,3220,31361,0,000000,003304,1214
493401,299000,02,5170,54006,0,166102,003304,1214
495039,300000,02,5171,00001,0,166102,003304,1214
496676,301000,43,3333,23361,1,000000,003304,3304
498335,302000,02,5171,00001,0,166102,003304,1214
499997,303000,43,3334,04635,0,000000,003304,3304
501638,304000,02,4642,56002,0,001214,003304,0000
503278,305000,01,3222,33224,0,003304,003304,1214
504915,306000,33,0001,03304,0,166102,003304,5172
506554,307000,02,4640,54004,0,003214,003304,0000
508224,308000,02,4641,75012,0,003214,003304,0000
509861,309000,02,5171,00001,0,166102,003304,1214
511498,310000,05,3701,00006,0,000000,000000,3525
513133,311000,01,3220,31361,0,000000,003304,1214
514768,312000,43,3332,00006,0,000000,003304,3304
516432,313000,43,3334,04635,0,000000,003304,3304
518074,314000,01,3222,33224,0,003304,003304,1214
519731,315000,02,5170,54006,0,166102,003304,1214
521363,316000,43,3334,04635,0,000000,003304,3304
523001,317000,02,4644,13214,0,000000,003304,1214
524663,318000,02,5171,00001,0,166102,003304,1214
526298,319000,43,3334,04635,0,000000,003304,3304
527940,320000,02,4641,75012,0,003214,003304,0000
529582,321000,02,5170,54006,0,166102,003304,1214
531220,322000,02,5171,00001,0,166102,003304,1214
532882,323000,43,3304,11362,0,166102,003304,0002
534516,324000,01,3221,54001,0,003304,003304,1214
536155,325000,01,3222,33224,0,003304,003304,1214
537792,326000,01,3223,15166,0,166102,003304,1214
539444,327000,43,3332,00006,0,000000,003304,3304
541134,328000,16,2161,04674,0,000000,000000,0073
542783,329000,01,3220,31361,0,000000,003304,1214
544421,330000,01,3221,54001,0,003304,003304,1214
546060,331000,01,3222,33224,0,003304,003304,1214
547698,332000,01,3223,15166,0,166102,003304,1214
549342,333000,01,3223,15166,0,166102,003304,1214
551006,334000,02,5167,01007,1,166102,003304,1214
552643,335000,43,3303,03332,0,000000,003304,3307
554278,336000,01,3223,15166,0,166102,003304,1214
555914,337000,43,3304,11362,0,166102,003304,0002
557551,338000,02,4635,56002,0,000000,003304,3335
559221,339000,02,5056,67737,0,000000,000000,3134
560873,340000,43,3334,04635,0,000000,003304,3304
562513,341000,02,4642,56002,0,001214,003304,0000
564153,342000,01,3222,33224,0,003304,003304,1214
565791,343000,01,3223,15166,0,166102,003304,1214
567454,344000,02,5167,01007,1,166102,003304,1214
569093,345000,02,5170,54006,0,166102,003304,1214
570732,346000,02,4637,33335,0,003335,003304,0000
572371,347000,02,4640,54004,0,003214,003304,0000
574011,348000,01,3220,31361,0,000000,003304,1214
575668,349000,02,4637,33335,0,003335,003304,0000
577308,350000,01,3214,10067,0,000000,003304,1214
578945,351000,01,3220,31361,0,000000,003304,1214
580602,352000,02,4640,54004,0,003214,003304,0000
582242,353000,01,3220,31361,0,000000,003304,1214
583907,354000,01,3222,33224,0,003304,003304,1214
585542,355000,43,3332,00006,0,000000,003304,3304
587181,356000,43,3333,23361,1,000000,003304,3304
588823,357000,01,3220,31361,0,000000,003304,1214
590466,358000,43,3304,11362,0,166102,003304,0002
592104,359000,43,3306,03303,0,000000,003304,0002
593769,360000,01,3214,10067,0,000000,003304,1214
595404,361000,02,5270,00006,0,000000,000000,0336
597041,362000,01,3223,15166,0,166102,003304,1214
598679,363000,02,5166,00006,0,166102,003304,1214
600336,364000,02,5276,50017,0,166102,003304,0002
601998,365000,43,3306,03303,0,000000,003304,0002
603637,366000,02,4644,13214,0,000000,003304,1214
605276,367000,01,3214,10067,0,000000,003304,1214
606912,368000,43,3303,03332,0,000000,003304,3307
608550,369000,43,3332,00006,0,000000,003304,3304
610214,370000,43,3334,04635,0,000000,003304,3304
611858,371000,01,3221,54001,0,003304,003304,1214
613496,372000,01,3222,33224,0,003304,003304,1214
615134,373000,01,3223,15166,0,166102,003304,1214
616771,374000,43,3334,04635,0,000000,003304,3304
618436,375000,02,4636,50000,0,003335,003304,0000
620070,376000,33,0001,03304,0,166102,003304,5172
621730,377000,01,3222,33224,0,003304,003304,1214
623368,378000,01,3223,15166,0,166102,003304,1214
625004,379000,02,5166,00006,0,166102,003304,1214
626669,380000,02,5170,54006,0,166102,003304,1214
628306,381000,02,5171,00001,0,166102,003304,1214
629976,382000,43,3332,00006,0,000000,003304,3304
631620,383000,02,4637,33335,0,003335,003304,0000
633259,384000,02,4640,54004,0,003214,003304,0000
634904,385000,16,2032,12041,0,007777,002002,3525
636562,386000,02,4643,50002,0,000000,003304,1214
638200,387000,02,4644,13214,0,000000,003304,1214
639837,388000,02,5270,00006,0,000000,000000,3525
641492,389000,02,5170,54006,0,166102,003304,1214
643129,390000,02,4636,50000,0,003335,003304,0000
644794,391000,02,4640,54004,0,003214,003304,0000
646434,392000,02,5170,54006,0,166102,003304,1214
648070,393000,02,5171,00001,0,166102,003304,1214
649708,394000,33,0001,03304,0,166102,003304,5172
651351,395000,06,2101,00006,0,000000,021316,2015
653013,396000,02,4636,50000,0,003335,003304,0000
654652,397000,02,4637,33335,0,003335,003304,0000
656291,398000,02,4640,54004,0,003214,003304,0000
657931,399000,02,5170,54006,0,166102,003304,1214
659567,400000,02,4640,54004,0,003214,003304,0000
661232,401000,02,4642,56002,0,001214,003304,0000
662885,402000,02,5167,01007,1,166102,003304,1214
664524,403000,02,5170,54006,0,166102,003304,1214
666162,404000,02,4637,33335,0,003335,003304,0000
667801,405000,02,4640,54004,0,003214,003304,0000
