bank,pc,count
00,2015,1
00,3274,1
00,3275,1
00,3276,1
00,3277,1
01,2507,1
01,2510,1
01,2601,2
01,2602,2
01,2603,1
01,2604,1
01,2605,1
01,2620,2
01,2621,2
01,2622,2
01,2623,2
01,2624,2
01,2625,25
01,2626,25
01,2627,25
01,2630,31
01,2631,31
01,2632,31
01,2633,5
01,2635,1
01,2636,25
01,2637,25
01,2640,25
01,2641,25
01,2642,25
01,2643,25
01,2644,25
01,2645,5
01,2646,20
01,2647,20
01,2650,20
01,2651,20
01,2655,20
01,2656,20
01,2657,20
01,2660,20
01,2661,5
01,2662,5
01,2663,5
01,2664,5
01,2665,5
01,2666,5
01,2667,5
01,2670,5
01,2671,1
01,2672,1
01,2673,1
01,2674,6
01,2675,6
01,2676,6
01,2677,6
01,2704,3
01,2705,3
01,2706,3
01,2707,3
01,2710,3
01,2711,3
01,2712,4
01,2713,4
01,2714,4
01,2715,4
01,2716,4
01,2717,4
01,2720,4
01,2721,4
01,2722,4
01,2723,4
01,2724,4
01,2725,4
01,2726,4
01,2727,4
01,2730,4
01,2731,4
01,2732,4
01,2733,4
01,2734,4
01,2735,4
01,2736,4
01,2737,4
01,2740,4
01,2741,4
01,2742,4
01,2743,4
01,2746,4
01,2747,4
01,2750,4
01,2751,4
01,2752,4
01,2753,4
01,2754,4
01,2755,4
01,2756,4
01,2757,4
01,2764,6
01,2765,6
01,2766,6
01,2767,6
01,2770,6
01,2771,6
01,2776,1
01,2777,1
01,3000,1
01,3001,1
01,3002,1
01,3003,1
01,3004,1
01,3005,1
01,3006,1
01,3007,3
01,3010,3
01,3011,1
01,3012,1
01,3013,1
01,3016,1
01,3017,1
01,3020,1
01,3021,1
01,3022,1
01,3023,1
01,3024,1
01,3025,1
01,3026,1
01,3027,8
01,3030,8
01,3031,8
01,3032,1
01,3035,8
01,3036,8
01,3037,8
01,3040,7
01,3041,1
01,3042,1
01,3043,1
01,3072,2
01,3073,2
01,3074,2
01,3075,2
01,3076,2
01,3077,2
01,3100,2
01,3101,2
01,3102,2
01,3103,21
01,3104,21
01,3105,21
01,3106,21
01,3107,21
01,3110,21
01,3111,21
01,3112,21
01,3113,21
01,3114,21
01,3115,1
01,3116,1
01,3117,1
01,3120,24
01,3121,3
01,3123,7
01,3124,24
01,3125,1
01,3130,24
01,3134,24
01,3140,24
01,3144,24
01,3150,24
01,3154,24
01,3157,5
01,3160,19
01,3161,5
01,3162,3
01,3163,2
01,3164,3
01,3165,3
01,3166,3
01,3167,3
01,3170,3
01,3171,4
01,3172,4
01,3173,4
01,3174,4
01,3175,4
01,3201,4
01,3202,4
01,3203,4
01,3204,4
01,3205,4
01,3206,19
01,3207,19
01,3210,22
01,3211,22
01,3212,22
01,3213,22
01,3214,58534
01,3215,1
01,3216,20
01,3217,20
01,3220,58513
01,3221,58513
01,3222,58513
01,3223,58513
01,3225,20
01,3226,20
01,3227,20
01,3230,20
01,3407,2
01,3410,2
01,3411,2
01,3412,2
01,3413,2
01,3414,2
01,3415,2
01,3416,2
01,3417,2
01,3420,2
01,3421,2
01,3422,2
01,3423,2
01,3424,2
01,3425,2
01,3426,2
01,3427,2
01,3430,2
01,3431,2
01,3432,2
01,3433,2
01,3434,2
01,3435,2
01,3436,2
01,3437,2
01,3440,2
01,3441,2
01,3442,2
01,3443,2
01,3444,2
01,3445,2
01,3446,2
01,3447,2
01,3450,2
01,3451,2
01,3526,1
01,3527,1
01,3530,1
01,3531,1
01,3532,1
01,3533,1
01,3534,1
01,3535,1
01,3536,1
01,3537,1
01,3541,1
01,3542,1
01,3544,1
01,3545,1
01,3550,1
01,3565,1
02,4000,1
02,4001,1
02,4002,1
02,4003,1
02,4010,300
02,4011,300
02,4012,300
02,4013,300
02,4014,2
02,4015,2
02,4016,2
02,4017,2
02,4020,353
02,4021,353
02,4022,353
02,4023,353
02,4024,18
02,4025,18
02,4026,18
02,4027,18
02,4040,1432
02,4041,1432
02,4042,1432
02,4043,1432
02,4155,1
02,4156,1
02,4157,1
02,4160,1
02,4161,1
02,4163,1
02,4164,1
02,4165,1
02,4166,1
02,4167,1
02,4170,1
02,4171,1
02,4172,1
02,4173,1
02,4174,1
02,4175,1
02,4176,1
02,4177,1
02,4200,1
02,4202,1
02,4203,1
02,4204,1
02,4205,1
02,4206,1
02,4207,1
02,4210,1
02,4211,1
02,4212,1
02,4213,1
02,4214,1
02,4215,1
02,4216,1
02,4220,1
02,4222,1
02,4224,1
02,4226,1
02,4255,1
02,4256,1
02,4257,1
02,4260,1
02,4261,1
02,4262,1
02,4264,1
02,4265,1
02,4267,1
02,4303,2
02,4304,2
02,4305,2
02,4306,2
02,4307,2
02,4310,2
02,4322,1
02,4323,1
02,4324,1
02,4325,1
02,4326,1
02,4327,1
02,4330,1
02,4331,2
02,4332,2
02,4333,2
02,4334,2
02,4335,2
02,4336,2
02,4337,2
02,4340,15
02,4341,15
02,4342,15
02,4343,15
02,4344,15
02,4345,15
02,4374,7
02,4375,7
02,4376,7
02,4377,7
02,4400,18
02,4401,18
02,4402,18
02,4403,18
02,4427,3
02,4430,3
02,4431,3
02,4432,3
02,4433,2
02,4434,2
02,4435,2
02,4436,2
02,4457,1
02,4460,1
02,4461,1
02,4462,1
02,4463,1
02,4464,1
02,4465,1
02,4467,1
02,4473,1
02,4474,1
02,4475,1
02,4476,1
02,4477,1
02,4500,1
02,4501,1
02,4616,7
02,4617,7
02,4620,7
02,4621,7
02,4622,8
02,4623,8
02,4624,8
02,4625,8
02,4626,8
02,4627,8
02,4630,8
02,4631,4
02,4632,4
02,4633,4
02,4634,4
02,4635,58542
02,4636,58542
02,4637,58542
02,4640,58566
02,4641,58566
02,4642,58566
02,4643,58566
02,4644,58566
02,4645,3
02,4646,3
02,4647,3
02,4650,3
02,4674,605
02,4675,605
02,4676,605
02,4677,605
02,4700,605
02,4701,605
02,4702,605
02,4703,605
02,4704,605
02,4705,605
02,4706,605
02,4707,605
02,4710,605
02,4711,605
02,4712,605
02,4727,1
02,4730,1
02,4731,1
02,5032,250
02,5033,500
02,5034,500
02,5036,500
02,5037,500
02,5040,250
02,5041,250
02,5042,250
02,5043,250
02,5044,250
02,5045,250
02,5046,250
02,5050,250
02,5051,250
02,5052,250
02,5053,250
02,5054,250
02,5055,250
02,5056,250
02,5057,250
02,5060,250
02,5061,250
02,5062,250
02,5063,250
02,5064,250
02,5065,250
02,5066,250
02,5067,250
02,5070,250
02,5071,250
02,5072,23
02,5073,23
02,5074,23
02,5075,23
02,5076,23
02,5077,23
02,5100,23
02,5101,23
02,5102,23
02,5103,23
02,5104,23
02,5105,1
02,5106,1
02,5107,1
02,5110,1
02,5111,1
02,5112,2
02,5113,2
02,5114,2
02,5115,2
02,5116,1
02,5117,1
02,5120,1
02,5121,1
02,5133,1
02,5134,1
02,5135,1
02,5136,1
02,5137,1
02,5140,1
02,5141,1
02,5142,1
02,5143,1
02,5144,1
02,5145,1
02,5146,2
02,5147,2
02,5150,2
02,5151,2
02,5152,2
02,5153,2
02,5154,2
02,5155,21
02,5156,21
02,5157,21
02,5160,26
02,5161,26
02,5162,26
02,5165,21
02,5166,58534
02,5167,58534
02,5170,58534
02,5171,58534
02,5240,2
02,5242,2
02,5261,2
02,5265,2
02,5266,2
02,5267,2
02,5270,2105
02,5271,2105
02,5272,2105
02,5273,2105
02,5274,2105
02,5275,2105
02,5276,2105
02,5314,1
02,5315,2
02,5316,2
02,5317,2
02,5353,2
02,5354,2
02,5355,2
02,5356,2
02,5357,2
02,5360,2
02,5361,2
02,5362,2
02,5363,2
02,5364,2
02,5365,2
02,5370,1
02,5371,1
02,5372,1
02,5373,1
02,5374,1
02,5376,1
02,5377,1
02,5400,1
02,5402,1
02,5403,1
02,5404,1
02,5405,1
02,5406,1
02,5407,1
02,5411,1
02,5412,1
02,5413,1
02,5414,1
02,5415,1
02,5416,1
02,5417,1
02,5420,1
02,5421,1
02,5476,1
02,5477,1
02,5500,1
02,5501,1
02,5502,1
02,5503,1
02,5511,10
02,5512,10
02,5513,10
02,5514,10
02,5515,10
02,5516,10
02,5517,10
02,5520,10
02,5521,10
02,5522,10
02,5523,10
02,5524,10
02,5525,10
02,5526,10
02,5527,10
02,5530,10
02,5531,10
02,5532,10
02,5533,10
02,5534,10
02,5535,10
02,5536,10
02,5537,10
02,5540,10
02,5541,10
02,5542,10
02,5543,10
02,5545,40
02,5546,40
02,5547,40
02,5550,40
02,5551,40
02,5552,40
02,5553,40
02,5554,40
02,5555,40
02,5556,40
02,5557,40
02,5560,40
02,5561,36
02,5562,4
02,5567,1
02,5570,1
02,5571,1
02,5572,1
02,5573,1
02,5574,1
02,5575,2
02,5576,2
02,5577,2
02,5600,2
02,5601,2
02,5602,2
02,5603,2
02,5605,2
02,5606,2
02,5621,2
02,5622,2
02,5623,2
02,5624,2
02,5625,2
02,5626,2
02,5627,2
02,5744,1
02,5745,1
02,5746,1
02,5747,1
02,5750,1
02,5752,1
03,6001,1
03,6002,1
03,6003,1
03,6004,1
03,6005,1
03,6011,1
03,6012,1
03,6013,1
03,6014,1
03,6015,1
03,6016,1
03,6017,1
03,6020,1
03,6037,2
03,6040,2
03,6041,2
03,6042,4
03,6043,4
03,6044,4
03,6045,4
03,6046,4
03,6047,4
03,6070,4
03,6071,4
03,6072,4
03,6075,4
03,6076,4
03,6077,4
03,6100,4
03,6101,2
03,6102,2
03,6247,2
03,6250,1
03,6252,1
03,6253,1
03,6254,1
03,6255,1
03,6256,1
03,6257,1
03,6260,1
03,6261,1
03,6262,1
03,6263,1
03,6264,1
03,6265,1
03,6266,1
03,6351,1
03,6640,1
03,6641,1
03,6642,1
03,6643,1
03,6644,1
03,6645,1
03,6646,1
03,6647,1
03,6650,1
03,6651,1
03,6652,2
03,6653,2
03,6654,2
03,6655,2
03,6656,2
03,6657,2
03,6660,2
03,6661,2
03,6737,57
03,6740,57
03,6741,30
03,6742,30
03,6743,2
03,6744,2
03,6745,2
03,6746,2
03,7126,16
03,7127,16
03,7130,16
03,7131,16
03,7132,16
03,7133,16
03,7134,16
03,7135,16
03,7307,16
03,7310,16
03,7311,16
03,7312,16
03,7313,16
03,7314,16
03,7315,16
04,2024,1
04,2026,1
04,2030,1
04,2031,1
04,2032,1
04,2040,1
04,2041,1
04,2042,1
04,2043,1
04,2044,1
04,2045,1
04,2047,1
04,2050,1
04,2051,1
04,2052,1
04,2053,1
04,2054,1
04,2055,1
04,2056,1
04,2057,1
04,2060,1
04,2061,1
04,2062,1
04,2063,1
04,2064,1
04,2072,1
04,2073,22
04,2074,22
04,2075,22
04,2076,22
04,2077,22
04,2100,22
04,2101,22
04,2102,21
04,2103,21
04,2105,1
04,2106,1
04,2107,1
04,2110,1
04,2111,1
04,2112,1
04,2134,1
04,2135,1
04,2136,1
04,2137,1
04,2140,1
04,2141,1
04,2143,1
