cycle,instructions,p63_instructions
4267,2423,0
8534,4872,0
12801,7451,0
17068,10054,0
21335,12645,0
25602,15240,0
29869,17826,0
34136,20429,0
38403,23017,0
42670,25624,0
46937,28202,0
51204,30804,0
55471,33394,0
59738,35997,0
64005,38577,0
68272,41183,0
72539,43770,0
76806,46373,0
81073,48960,0
85340,51554,0
89607,54146,0
93874,56729,0
98141,59318,0
102408,61922,0
106675,64500,0
110942,67107,0
115209,69688,0
119476,72297,0
123743,74886,0
128010,77477,0
132277,80068,0
136544,82670,0
140811,85261,0
145078,87866,0
149345,90442,0
153612,93049,0
157879,95633,0
162146,98242,0
166413,100823,0
170680,103426,0
174947,106017,0
179214,108622,0
183481,111191,0
187748,113786,0
192015,116373,0
196282,118979,0
200549,121567,0
204816,124169,0
209083,126749,0
213350,129353,0
217617,131941,0
221884,134549,0
226151,137135,0
230418,139729,0
234685,142317,0
238952,144920,0
243219,147511,0
247486,150113,0
251753,152692,0
256020,155292,0
260287,157862,0
264554,160457,0
268821,163019,0
273088,165593,0
277355,168171,0
281622,170762,0
285889,173336,0
290156,175920,0
294423,178489,0
298690,181097,0
302957,183666,0
307224,186272,0
311491,188851,0
315758,191454,0
320025,194042,0
324292,196640,0
328559,199213,0
332826,201800,0
337093,204383,0
341360,206988,0
345627,209580,0
349894,212187,0
354161,214764,0
358428,217366,0
362695,219786,0
366962,222238,0
371229,224815,0
375496,227405,0
379763,229980,0
384030,232572,0
388297,235153,0
392564,237739,0
396831,240312,0
401098,242901,0
405365,245489,0
409632,248094,0
413899,250679,0
418166,253274,0
422433,255861,0
426700,258464,0
430967,261055,0
435234,263659,0
439501,266237,0
443768,268841,0
448035,271430,0
452302,274016,0
456569,276605,0
460836,279197,0
465103,281786,0
469370,284388,0
473637,286978,0
477904,289569,0
482171,292160,0
486438,294764,0
490705,297352,0
494972,299960,0
499239,302534,0
503506,305140,0
507773,307730,0
512040,310330,0
516307,312922,0
520574,315515,0
524841,318109,0
529108,320714,0
533375,323301,0
537642,325908,0
541909,328467,0
546176,331071,0
550443,333660,0
554710,336263,0
558977,338854,0
563244,341448,0
567511,344035,0
571778,346640,0
576045,349227,0
580312,351822,0
584579,354412,0
588846,357015,0
593113,359603,0
597380,362204,0
601647,364785,0
605914,367390,0
610181,369979,0
614448,372584,0
618715,375170,0
622982,377765,0
627249,380355,0
631516,382935,0
635783,385526,0
640050,388129,0
644317,390709,0
648584,393315,0
652851,395900,0
657118,398506,0
661385,401094,0
665652,403688,0
669919,406279,0
674186,408877,0
678453,411468,0
682720,414055,0
686987,416634,0
691254,419241,0
695521,421818,0
699788,424421,0
704055,427002,0
708322,429605,0
712589,432196,0
716856,434793,0
721123,437345,0
725390,439933,0
729657,442514,0
733924,445119,0
738191,447707,0
742458,450313,0
746725,452892,0
750992,455489,0
755259,458056,0
759526,460653,0
763793,463240,0
768060,465834,0
772327,468422,0
776594,471027,0
780861,473617,0
785128,476202,0
789395,478779,0
793662,481383,0
797929,483961,0
802196,486562,0
806463,489137,0
810730,491723,0
814997,494315,0
819264,496910,0
823531,499483,0
827798,502067,0
832065,504651,0
836332,507253,0
840599,509841,0
844866,512448,0
849133,515023,0
853400,517623,0
857667,520193,0
861934,522786,0
866201,525376,0
870468,527971,0
874735,530559,0
879002,533164,0
883269,535755,0
887536,538343,0
891803,540658,1
896070,543152,2
900337,545688,2
904604,548278,2
908871,550855,2
913138,553448,2
917405,556024,2
921672,558603,2
925939,561184,2
930206,563772,2
934473,566352,2
938740,568935,2
943007,571523,2
947274,574129,2
951541,576714,2
955808,579322,2
960075,581899,2
964342,584504,2
968609,587094,2
972876,589694,2
977143,592284,2
981410,594876,2
985677,597466,2
989944,600051,2
994211,602638,2
998478,605245,2
1002745,607822,2
1007012,610425,2
1011279,613012,2
1015546,615615,2
1019813,618206,2
1024080,620801,2
1028347,623389,2
1032614,625994,2
1036881,628584,2
1041148,631174,2
1045415,633764,2
1049682,636370,2
1053949,638956,2
1058216,641564,2
1062483,644143,2
1066750,646748,2
1071017,649339,2
1075284,651942,2
1079551,654497,2
1083818,657089,2
1088085,659677,2
1092352,662281,2
1096619,664868,2
1100886,667474,2
1105153,670050,2
1109420,672655,2
1113687,675246,2
1117954,677847,2
1122221,680439,2
1126488,683033,2
1130755,685618,2
1135022,688222,2
1139289,690810,2
1143556,693405,2
1147823,695995,2
1152090,698598,2
1156357,701187,2
1160624,703789,2
1164891,706369,2
1169158,708955,2
1173425,711542,2
1177692,714145,2
1181959,716733,2
1186226,719327,2
1190493,721918,2
1194760,724519,2
1199027,727110,2
1203294,729712,2
1207561,732290,2
1211828,734897,2
1216095,737481,2
1220362,740087,2
1224629,742674,2
1228896,745269,2
1233163,747859,2
1237430,750464,2
1241697,753059,2
1245964,755648,2
1250231,758238,2
1254498,760846,2
1258765,763397,2
1263032,766000,2
1267299,768578,2
1271566,771181,2
1275833,773772,2
1280100,776369,2
1284367,778933,2
1288634,781518,2
1292901,784100,2
1297168,786702,2
1301435,789293,2
1305702,791896,2
1309969,794474,2
1314236,797067,2
1318503,799641,2
1322770,802238,2
1327037,804826,2
1331304,807420,2
1335571,810007,2
1339838,812610,2
1344105,815202,2
1348372,817759,2
1352639,820342,2
1356906,822945,2
1361173,825527,2
1365440,828128,2
1369707,830703,2
1373974,833309,2
1378241,835897,2
1382508,838488,2
1386775,841077,2
1391042,843660,2
1395309,846245,2
1399576,848850,2
1403843,851437,2
1408110,854045,2
1412377,856620,2
1416644,859217,2
1420911,861793,2
1425178,864386,2
1429445,866976,2
1433712,869563,2
1437979,872123,2
1442246,874728,2
1446513,877315,2
1450780,879897,2
1455047,882479,2
1459314,885082,2
1463581,887662,2
1467848,890260,2
1472115,892837,2
1476382,895445,2
1480649,898031,2
1484916,900624,2
1489183,903102,2
1493450,905685,2
1497717,908265,2
1501984,910852,2
1506251,913430,2
1510518,916023,2
1514785,918590,2
1519052,921184,2
1523319,923763,2
1527586,926356,2
1531853,928946,2
1536120,931537,2
1540387,934128,2
1544654,936730,2
1548921,939317,2
1553188,941911,2
1557455,944498,2
1561722,947105,2
1565989,949693,2
1570256,952297,2
1574523,954876,2
1578790,957479,2
1583057,960069,2
1587324,962673,2
