cycle,instructions,p63_instructions
4267,0,0
8534,0,0
12801,0,0
17068,0,0
21335,0,0
25602,0,0
29869,0,0
34136,0,0
38403,0,0
42670,0,0
46937,0,0
51204,0,0
55471,0,0
59738,0,0
64005,0,0
68272,0,0
72539,0,0
76806,0,0
81073,0,0
85340,0,0
89607,0,0
93874,0,0
98141,0,0
102408,0,0
106675,0,0
110942,0,0
115209,0,0
119476,0,0
123743,0,0
128010,0,0
132277,0,0
136544,0,0
140811,0,0
145078,0,0
149345,0,0
153612,0,0
157879,0,0
162146,0,0
166413,0,0
170680,0,0
174947,0,0
179214,0,0
183481,0,0
187748,0,0
192015,0,0
196282,0,0
200549,0,0
204816,0,0
209083,0,0
213350,0,0
217617,0,0
221884,0,0
226151,0,0
230418,0,0
234685,0,0
238952,0,0
243219,0,0
247486,0,0
251753,0,0
256020,0,0
260287,0,0
264554,0,0
268821,0,0
273088,0,0
277355,0,0
281622,0,0
285889,0,0
290156,0,0
294423,0,0
298690,0,0
302957,0,0
307224,0,0
311491,0,0
315758,0,0
320025,0,0
324292,0,0
328559,0,0
332826,0,0
337093,0,0
341360,0,0
345627,0,0
349894,0,0
354161,0,0
358428,0,0
362695,0,0
366962,0,0
371229,0,0
375496,0,0
379763,0,0
384030,0,0
388297,0,0
392564,0,0
396831,0,0
401098,0,0
405365,0,0
409632,0,0
413899,0,0
418166,0,0
422433,0,0
426700,0,0
430967,0,0
435234,0,0
439501,0,0
443768,0,0
448035,0,0
452302,0,0
456569,0,0
460836,0,0
465103,0,0
469370,0,0
473637,0,0
477904,0,0
482171,0,0
486438,0,0
490705,0,0
494972,0,0
499239,0,0
503506,0,0
507773,0,0
512040,0,0
516307,0,0
520574,0,0
524841,0,0
529108,0,0
533375,0,0
537642,0,0
541909,0,0
546176,0,0
550443,0,0
554710,0,0
558977,0,0
563244,0,0
567511,0,0
571778,0,0
576045,0,0
580312,0,0
584579,0,0
588846,0,0
593113,0,0
597380,0,0
601647,0,0
605914,0,0
610181,0,0
614448,0,0
618715,0,0
622982,0,0
627249,0,0
631516,0,0
635783,0,0
640050,0,0
644317,0,0
648584,0,0
652851,0,0
657118,0,0
661385,0,0
665652,0,0
669919,0,0
674186,0,0
678453,0,0
682720,0,0
686987,0,0
691254,0,0
695521,0,0
699788,0,0
704055,0,0
708322,0,0
712589,0,0
716856,0,0
721123,0,0
725390,0,0
729657,0,0
733924,0,0
738191,0,0
742458,0,0
746725,0,0
750992,0,0
755259,0,0
759526,0,0
763793,0,0
768060,0,0
772327,0,0
776594,0,0
780861,0,0
785128,0,0
789395,0,0
793662,0,0
797929,0,0
802196,0,0
806463,0,0
810730,0,0
814997,0,0
819264,0,0
823531,0,0
827798,0,0
832065,0,0
836332,0,0
840599,0,0
844866,0,0
849133,0,0
853400,0,0
857667,0,0
861934,0,0
866201,0,0
870468,0,0
874735,0,0
879002,0,0
883269,0,0
887536,0,0
891803,0,0
896070,0,0
900337,0,0
904604,0,0
908871,0,0
913138,0,0
917405,0,0
921672,0,0
925939,0,0
930206,0,0
934473,0,0
938740,0,0
943007,0,0
947274,0,0
951541,0,0
955808,0,0
960075,0,0
964342,0,0
968609,0,0
972876,0,0
977143,0,0
981410,0,0
985677,0,0
989944,0,0
994211,0,0
998478,0,0
1002745,0,0
1007012,0,0
1011279,0,0
1015546,0,0
1019813,0,0
1024080,0,0
1028347,0,0
1032614,0,0
1036881,0,0
1041148,0,0
1045415,0,0
1049682,0,0
1053949,0,0
1058216,0,0
1062483,0,0
1066750,0,0
1071017,0,0
1075284,0,0
1079551,0,0
1083818,0,0
1088085,0,0
1092352,0,0
1096619,0,0
1100886,0,0
1105153,0,0
1109420,0,0
1113687,0,0
1117954,0,0
1122221,0,0
1126488,0,0
1130755,0,0
1135022,0,0
1139289,0,0
1143556,0,0
1147823,0,0
1152090,0,0
1156357,0,0
1160624,0,0
1164891,0,0
1169158,0,0
1173425,0,0
1177692,0,0
1181959,0,0
1186226,0,0
1190493,0,0
1194760,0,0
1199027,0,0
1203294,0,0
1207561,0,0
1211828,0,0
1216095,0,0
1220362,0,0
1224629,0,0
1228896,0,0
1233163,0,0
1237430,0,0
1241697,0,0
1245964,0,0
1250231,0,0
1254498,0,0
1258765,0,0
1263032,0,0
1267299,0,0
1271566,0,0
1275833,0,0
1280100,0,0
1284367,0,0
1288634,0,0
1292901,0,0
1297168,0,0
1301435,0,0
1305702,0,0
1309969,0,0
1314236,0,0
1318503,0,0
1322770,0,0
1327037,0,0
1331304,0,0
1335571,0,0
1339838,0,0
1344105,0,0
1348372,0,0
1352639,0,0
1356906,0,0
1361173,0,0
1365440,0,0
1369707,0,0
1373974,0,0
1378241,0,0
1382508,0,0
1386775,0,0
1391042,0,0
1395309,0,0
1399576,0,0
1403843,0,0
1408110,0,0
1412377,0,0
1416644,0,0
1420911,0,0
1425178,0,0
1429445,0,0
1433712,0,0
1437979,0,0
1442246,0,0
1446513,0,0
1450780,0,0
1455047,0,0
1459314,0,0
1463581,0,0
1467848,0,0
1472115,0,0
1476382,0,0
1480649,0,0
1484916,0,0
1489183,0,0
1493450,0,0
1497717,0,0
1501984,0,0
1506251,0,0
1510518,0,0
1514785,0,0
1519052,0,0
1523319,0,0
1527586,0,0
1531853,0,0
1536120,0,0
1540387,0,0
1544654,0,0
1548921,0,0
1553188,0,0
1557455,0,0
1561722,0,0
1565989,0,0
1570256,0,0
1574523,0,0
1578790,0,0
1583057,0,0
1587324,0,0
1591591,0,0
1595858,0,0
1600125,0,0
1604392,0,0
1608659,0,0
1612926,0,0
1617193,0,0
1621460,0,0
1625727,0,0
1629994,0,0
1634261,0,0
1638528,0,0
1642795,0,0
1647062,0,0
1651329,0,0
1655596,0,0
1659863,0,0
1664130,0,0
1668397,0,0
1672664,0,0
1676931,0,0
1681198,0,0
1685465,0,0
1689732,0,0
1693999,0,0
1698266,0,0
1702533,0,0
1706800,0,0
1711067,0,0
1715334,0,0
1719601,0,0
1723868,0,0
1728135,0,0
1732402,0,0
1736669,0,0
1740936,0,0
1745203,0,0
1749470,0,0
1753737,0,0
1758004,0,0
1762271,0,0
1766538,0,0
1770805,0,0
1775072,0,0
1779339,0,0
1783606,0,0
1787873,0,0
1792140,0,0
1796407,0,0
1800674,0,0
1804941,0,0
1809208,0,0
1813475,0,0
1817742,0,0
1822009,0,0
1826276,0,0
1830543,0,0
1834810,0,0
1839077,0,0
1843344,0,0
1847611,0,0
1851878,0,0
1856145,0,0
1860412,0,0
1864679,0,0
1868946,0,0
1873213,0,0
1877480,0,0
1881747,0,0
1886014,0,0
1890281,0,0
1894548,0,0
1898815,0,0
1903082,0,0
1907349,0,0
1911616,0,0
1915883,0,0
1920150,0,0
1924417,0,0
1928684,0,0
1932951,0,0
1937218,0,0
1941485,0,0
1945752,0,0
1950019,0,0
1954286,0,0
1958553,0,0
1962820,0,0
1967087,0,0
1971354,0,0
1975621,0,0
1979888,0,0
1984155,0,0
1988422,0,0
1992689,0,0
1996956,0,0
2001223,0,0
2005490,0,0
2009757,0,0
2014024,0,0
2018291,0,0
2022558,0,0
2026825,0,0
2031092,0,0
2035359,0,0
2039626,0,0
2043893,0,0
2048160,0,0
2052427,0,0
2056694,0,0
2060961,0,0
2065228,0,0
2069495,0,0
2073762,0,0
2078029,0,0
2082296,0,0
2086563,0,0
2090830,0,0
2095097,0,0
2099364,0,0
2103631,0,0
2107898,0,0
2112165,0,0
2116432,0,0
2120699,0,0
2124966,0,0
2129233,0,0
2133500,0,0
2137767,0,0
2142034,0,0
2146301,0,0
2150568,0,0
2154835,0,0
2159102,0,0
2163369,0,0
2167636,0,0
2171903,0,0
2176170,0,0
2180437,0,0
2184704,0,0
2188971,0,0
2193238,0,0
2197505,0,0
2201772,0,0
2206039,0,0
2210306,0,0
2214573,0,0
2218840,0,0
2223107,0,0
2227374,0,0
2231641,0,0
2235908,0,0
2240175,0,0
2244442,0,0
2248709,0,0
2252976,0,0
2257243,0,0
2261510,0,0
2265777,0,0
2270044,0,0
2274311,0,0
2278578,0,0
2282845,0,0
2287112,0,0
2291379,0,0
2295646,0,0
2299913,0,0
2304180,0,0
2308447,0,0
2312714,0,0
2316981,0,0
2321248,0,0
2325515,0,0
2329782,0,0
2334049,0,0
2338316,0,0
2342583,0,0
2346850,0,0
2351117,0,0
2355384,0,0
2359651,0,0
2363918,0,0
2368185,0,0
2372452,0,0
2376719,0,0
2380986,0,0
2385253,0,0
2389520,0,0
2393787,0,0
2398054,0,0
2402321,0,0
2406588,0,0
2410855,0,0
2415122,0,0
2419389,0,0
2423656,0,0
2427923,0,0
2432190,0,0
2436457,0,0
2440724,0,0
2444991,0,0
2449258,0,0
2453525,0,0
2457792,0,0
2462059,0,0
2466326,0,0
2470593,0,0
2474860,0,0
2479127,0,0
2483394,0,0
2487661,0,0
2491928,0,0
2496195,0,0
2500462,0,0
2504729,0,0
2508996,0,0
2513263,0,0
2517530,0,0
2521797,0,0
2526064,0,0
2530331,0,0
2534598,0,0
2538865,0,0
2543132,0,0
2547399,0,0
2551666,0,0
2555933,0,0
2560000,0,0
